pos.TSS	pos.TES	nb.TSS	nb.TES	RNA-seq	coverage
Pa_2_340.G	377206	375895	1	1	ERR2224051	250
Pa_2_350.G	377443	379556	1	1	SRR6960214	50
Pa_2_360.G	NA	NA	NA	NA	NA	NA
Pa_2_365.G	NA	NA	NA	NA	NA	NA
Pa_2_370.G	381180	382517	1	1	SRR6960211	25
Pa_2_390.G	383448	382363	1	1	ERR2224050	250
Pa_2_400.G	384411	388286	1	1	ERR2224049	10
Pa_2_410.G	390107;389908;389968;389966;389985;389933;389954;389944;389942;389967;389947;389954;389943;389926	388093;387826;387832;387814;387829;387813;387831;387798;387784;387811;387779;387831;387798;387801	13	12	ERR2224046;SRR3197702;SRR3197704;SRR3197708;SRR3197709;SRR6960209;SRR6960213;SRR6960214;SRR6960215;SRR6960216;SRR6960217;SRR6960221;SRR6960223;SRR6960225	10
Pa_2_420.G	392057;392047	390049;390049	2	1	SRR3197710;SRR3197711	100
Pa_2_430.G	NA	NA	NA	NA	NA	NA
Pa_2_440.G	396484	397376	1	1	SRR3197702	1000
Pa_2_450.G	398824;398913;399839;398868	401242;401266;401260;401266	4	3	SRR3197710;SRR6960214;SRR6960216;SRR6960217	10
Pa_2_460.G	405266	402440	1	1	SRR6960217	100
Pa_2_470.G	405858	410689	1	1	SRR3197710	1000
Pa_2_480.G	410908	414056	1	1	ERR2224050	100
Pa_2_483.G	NA	NA	NA	NA	NA	NA
Pa_2_490.G	NA	NA	NA	NA	NA	NA
Pa_2_492.G	427641	426571	1	1	ERR2224051	25
Pa_2_495.G	430246;430002;430309;430296;430309;430252	430753;432309;432552;431799;431881;433018	5	6	ERR2224047;ERR2224048;SRR3197704;SRR3197708;SRR3197709;SRR6960217	10
Pa_2_498.G	NA	NA	NA	NA	NA	NA
Pa_2_499.G	NA	NA	NA	NA	NA	NA
Pa_2_500.G	443295;443263	440817;440837	2	2	ERR2224048;ERR2224049	250
Pa_2_502.G	448508	445248	1	1	ERR2224051	25
Pa_2_506.G	NA	NA	NA	NA	NA	NA
Pa_2_510.G	460132	452592	1	1	ERR2224048	500
Pa_2_520.G	NA	NA	NA	NA	NA	NA
Pa_2_530.G	468711;468675;468408	465982;465998;465975	3	3	SRR3197710;SRR3197711;SRR6960216	10
Pa_2_540.G	NA	NA	NA	NA	NA	NA
Pa_2_550.G	475518;475534;475522;475541;475521;475536;475565	476503;476570;476471;476488;476461;476518;476469	7	7	ERR2224050;SRR3197700;SRR3197701;SRR3197702;SRR3197710;SRR6960213;SRR6960218	100
Pa_2_560.G	477540	476587	1	1	SRR3197710	100
Pa_2_570.G	477900	481615	1	1	SRR6960217	25
Pa_2_580.G	481804;481823;481841	483505;483570;483573	3	3	SRR3197705;SRR6960217;SRR6960219	50
Pa_2_590.G	485132;485112	483422;483428	2	2	ERR2224046;SRR6960209	25
Pa_2_600.G	NA	NA	NA	NA	NA	NA
Pa_2_610.G	486779	489397	1	1	SRR6960219	75
Pa_2_620.G	491355;491299	489393;489426	2	2	ERR2224048;SRR3197704	25
Pa_2_630.G	493468	499197	1	1	ERR2224050	100
Pa_2_640.G	NA	NA	NA	NA	NA	NA
Pa_2_645.G	510806	509027	1	1	SRR3197710	1000
Pa_2_650.G	521071	517915	1	1	ERR2224050	100
Pa_2_660.G	523033	521174	1	1	ERR2224051	250
Pa_2_670.G	523641	524513	1	1	ERR2224051	7500
Pa_2_680.G	NA	NA	NA	NA	NA	NA
Pa_2_690.G	528399	532308	1	1	SRR3197711	10
Pa_2_700.G	537081;536839;537062;537129;536686;536897;537084	533051;533082;533052;533049;534195;532865;532875	7	7	ERR2224047;ERR2224048;SRR3197710;SRR3197711;SRR6960211;SRR6960214;SRR6960222	25
Pa_2_710.G	540035;540115;539757;540109;540103	542166;542207;542185;542176;542207	5	4	SRR3197704;SRR3197709;SRR6960217;SRR6960219;SRR6960222	25
Pa_2_720.G	544148	542249	1	1	SRR6960217	50
Pa_2_730.G	544384	545938	1	1	ERR2224050	250
Pa_2_740.G	547476	546201	1	1	SRR3197710	2500
Pa_2_750.G	549164	550035	1	1	SRR3197703	2500
Pa_2_760.G	552581	550650	1	1	SRR3197704	100
Pa_2_770.G	553623;553799	556285;556387	2	2	ERR2224048;ERR2224051	100
Pa_2_780.G	556919;556933	559383;559382	2	2	SRR6960217;SRR6960222	50
Pa_2_785.G	NA	NA	NA	NA	NA	NA
Pa_2_790.G	563360	561956	1	1	ERR2224051	250
Pa_2_800.G	563705;563813	567619;567498	2	2	ERR2224048;SRR6960217	50
Pa_2_810.G	567937	569961	1	1	ERR2224050	75
Pa_2_820.G	573114;573114;573068	570479;570505;570502	2	3	SRR6960214;SRR6960215;SRR6960217	100
Pa_2_830.G	574486	579551	1	1	ERR2224051	250
Pa_2_840.G	580026;580072	581430;581500	2	2	SRR3197704;SRR6960219	100
Pa_2_845.G	582269	584147	1	1	ERR2224047	100
Pa_2_850.G	587522;587672;587586	585350;585473;585408	3	3	SRR3197704;SRR3197705;SRR3197709	25
Pa_2_860.G	589291	590028	1	1	SRR6960207	5000
Pa_2_870.G	592722	595770	1	1	SRR6960213	100
Pa_2_880.G	600153	596978	1	1	ERR2224048	25
Pa_2_883.G	604499;604614;604511	603303;603303;603274	3	2	SRR6960208;SRR6960214;SRR6960220	10
Pa_2_885.G	NA	NA	NA	NA	NA	NA
Pa_2_887.G	NA	NA	NA	NA	NA	NA
Pa_2_890.G	612332	617115	1	1	ERR2224048	250
Pa_2_900.G	618305	621531	1	1	ERR2224050	25
Pa_2_910.G	623945	621832	1	1	ERR2224048	75
Pa_2_920.G	624580;624684	626468;626349	2	2	ERR2224050;ERR2224051	250
Pa_2_940.G	638594	640313	1	1	ERR2224051	250
Pa_2_950.G	641570;641488	644967;644970	2	2	SRR6960217;SRR6960219	100
Pa_2_960.G	645150	646479	1	1	ERR2224050	75
Pa_2_970.G	646819;646870;646897;646870	648026;648075;648099;648092	3	4	ERR2224050;SRR6960213;SRR6960218;SRR6960221	100
Pa_2_980.G	649734	648112	1	1	SRR6960225	750
Pa_2_990.G	NA	NA	NA	NA	NA	NA
Pa_2_1000.G	658941;658930;657874;658862;658852	653532;653532;653533;653537;653533	5	3	ERR2224051;SRR3197710;SRR6960209;SRR6960217;SRR6960219	10
Pa_2_1010.G	671161;671011;671253;670971;671253;671183	668610;668598;668610;668610;668610;668610	5	2	ERR2224048;SRR6960209;SRR6960217;SRR6960219;SRR6960221;SRR6960222	100
Pa_2_1020.G	674461	673171	1	1	SRR3197709	25
Pa_2_1030.G	680018	677691	1	1	ERR2224048	500
Pa_2_1040.G	NA	NA	NA	NA	NA	NA
Pa_2_1045.G	689035;689042;688818;689103;689072;689104	690242;690360;690252;690390;690349;690402	6	6	SRR3197704;SRR3197709;SRR3197710;SRR6960212;SRR6960221;SRR6960225	100
Pa_2_1050.G	690786;690922	692681;692691	2	2	ERR2224050;ERR2224051	1000
Pa_2_1060.G	694212	692940	1	1	SRR6960213	500
Pa_2_1070.G	694688	696759	1	1	SRR6960213	75
Pa_2_1080.G	698374	696680	1	1	ERR2224046	25
Pa_2_1090.G	701086	698672	1	1	SRR3197701	75
Pa_2_1100.G	NA	NA	NA	NA	NA	NA
Pa_2_1110.G	NA	NA	NA	NA	NA	NA
Pa_2_1120.G	721070;721072;721034;721018	718993;719099;719011;719026	4	4	ERR2224050;ERR2224051;SRR3197710;SRR6960219	100
Pa_2_1130.G	723608;723583;723571	721309;721310;721254	3	3	ERR2224046;ERR2224050;SRR3197710	100
Pa_2_1140.G	723997;723970	725452;725571	2	2	ERR2224046;ERR2224048	100
Pa_2_1150.G	725814	726358	1	1	ERR2224050	1000
Pa_2_1160.G	729975	728605	1	1	ERR2224048	250
Pa_2_1168.G	NA	NA	NA	NA	NA	NA
Pa_2_1170.G	739355;739214	737572;737577	2	2	SRR3197702;SRR3197704	250
Pa_2_1180.G	740204	741610	1	1	SRR3197702	500
Pa_2_1190.G	743211	744257	1	1	SRR3197702	75
Pa_2_1195.G	745780;745532;745520	744894;744889;744710	3	3	ERR2224047;SRR6960211;SRR6960216	10
Pa_2_1197.G	NA	NA	NA	NA	NA	NA
Pa_2_1200.G	NA	NA	NA	NA	NA	NA
Pa_2_1210.G	751412	755707	1	1	ERR2224051	25
Pa_2_1235.G	770564;770567;770600	767910;767887;767927	3	3	SRR3197701;SRR3197708;SRR3197711	10
Pa_2_1240.G	772700	770696	1	1	SRR6960219	20000
Pa_2_1245.G	776958;776916	775572;775619	2	2	ERR2224050;SRR6960219	100
Pa_2_1250.G	NA	NA	NA	NA	NA	NA
Pa_2_1260.G	778454;778459	779662;779873	2	2	ERR2224050;ERR2224051	100
Pa_2_1270.G	NA	NA	NA	NA	NA	NA
Pa_2_1280.G	785983;786553;786231;785864;785998;785953	783102;783102;783113;783113;783113;783061	6	3	SRR3197702;SRR3197703;SRR3197704;SRR3197705;SRR3197710;SRR6960222	100
Pa_2_1290.G	NA	NA	NA	NA	NA	NA
Pa_2_1300.G	NA	NA	NA	NA	NA	NA
Pa_2_1320.G	795859	801743	1	1	ERR2224046	25
Pa_2_1323.G	NA	NA	NA	NA	NA	NA
Pa_2_1326.G	NA	NA	NA	NA	NA	NA
Pa_2_1330.G	806934;806724;806608;806637;806733;806615	808802;808840;808912;808846;808871;808920	6	6	ERR2224046;ERR2224047;ERR2224048;ERR2224050;ERR2224051;SRR3197710	25
Pa_2_1350.G	NA	NA	NA	NA	NA	NA
Pa_2_1360.G	NA	NA	NA	NA	NA	NA
Pa_2_1370.G	817083	814485	1	1	SRR3197706	50
Pa_2_1380.G	818665;818705	817531;817530	2	2	SRR3197702;SRR3197703	250
Pa_2_1390.G	823173	820153	1	1	SRR3197710	100
Pa_2_1393.G	824127	825884	1	1	SRR3197710	10
Pa_2_1400.G	829492	825976	1	1	ERR2224051	750
Pa_2_1410.G	831240	832930	1	1	ERR2224051	100
Pa_2_1415.G	834316;834303;834312;834278	833020;833031;833012;833299	4	4	SRR3197702;SRR3197704;SRR3197710;SRR6960213	100
Pa_2_1420.G	834472	835341	1	1	ERR2224050	1000
Pa_2_1430.G	837830	835482	1	1	SRR6960213	25
Pa_2_1440.G	838238	839929	1	1	ERR2224050	750
Pa_2_1450.G	844084	840437	1	1	ERR2224051	100
Pa_2_1460.G	844657;844740;844676;844666;844707;844708;844655;844747;844685	845979;846024;846024;846025;846004;846003;845964;846006;846024	9	7	ERR2224051;SRR6960209;SRR6960212;SRR6960216;SRR6960217;SRR6960219;SRR6960221;SRR6960222;SRR6960225	25
Pa_2_1470.G	NA	NA	NA	NA	NA	NA
Pa_2_1480.G	846990	851039	1	1	SRR3197701	25
Pa_2_1490.G	NA	NA	NA	NA	NA	NA
Pa_2_1500.G	859500	857205	1	1	SRR3197707	25
Pa_2_1510.G	870115	866162	1	1	SRR3197711	10
Pa_2_1520.G	872142;872198;872169;872073	873682;873753;873754;873754	4	3	ERR2224047;SRR6960208;SRR6960216;SRR6960217	100
Pa_2_1530.G	876080;876075	875349;875346	2	2	SRR6960207;SRR6960213	250
Pa_2_1540.G	NA	NA	NA	NA	NA	NA
Pa_2_1550.G	884986	886639	1	1	SRR6960214	250
Pa_2_1560.G	891157;891061	893426;893453	2	2	SRR6960217;SRR6960222	100
Pa_2_1570.G	NA	NA	NA	NA	NA	NA
Pa_2_1580.G	NA	NA	NA	NA	NA	NA
Pa_2_1590.G	906907	903015	1	1	SRR3197710	75
Pa_2_1600.G	910392;910376;910426;910383;910397;910373;910398;910398;910359;910373;910380;910370	908277;908219;908264;908265;908235;908258;908265;908272;908272;908259;908265;908265	10	8	SRR3197710;SRR6960209;SRR6960212;SRR6960213;SRR6960216;SRR6960217;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	100
Pa_2_1610.G	911037	913863	1	1	SRR3197710	50
Pa_2_1620.G	914443;914109	916637;916642	2	2	ERR2224048;SRR3197702	100
Pa_2_1630.G	917809;917753	916678;916668	2	2	SRR3197704;SRR3197709	100
Pa_2_1640.G	923097	918044	1	1	SRR3197710	500
Pa_2_1660.G	926756;926743;926716;926713;926739;926715;926646;926691;926714;926713;926701;926701;926701	925337;925430;925464;925435;925334;925423;925433;925349;925435;925349;925488;925360;925417	10	11	ERR2224046;ERR2224050;SRR3197701;SRR6960209;SRR6960212;SRR6960213;SRR6960217;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR6960223;SRR6960225	100
Pa_2_1670.G	NA	NA	NA	NA	NA	NA
Pa_2_1680.G	NA	NA	NA	NA	NA	NA
Pa_2_1690.G	935511	934405	1	1	ERR2224051	1000
Pa_2_1700.G	937292;937054;936974;936462;936489;937255	938429;938386;938689;938676;938405;938671	6	6	ERR2224047;SRR6960214;SRR6960216;SRR6960217;SRR6960222;SRR6960225	25
Pa_2_1705.G	939822;939829;939863;939862	941042;941250;941250;941255	4	3	ERR2224050;SRR3197704;SRR6960213;SRR6960218	1000
Pa_2_1710.G	944613;944564;944593	941965;942000;942000	3	2	SRR6960212;SRR6960217;SRR6960222	750
Pa_2_1720.G	948631;948587;948695;949097;948644;949309;948642;948736;948709;949184	952610;952610;952299;952272;952338;952329;952272;952380;952278;952278	10	7	ERR2224050;ERR2224051;SRR6960209;SRR6960216;SRR6960217;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR6960225	10
Pa_2_1740.G	955792	958992	1	1	ERR2224048	250
Pa_2_1750.G	960227;960169	961508;961404	2	2	SRR6960207;SRR6960213	5000
Pa_2_1760.G	963318	961787	1	1	SRR6960214	75
Pa_2_1770.G	963914;963976;963956;963947	966593;966608;966621;966597	4	4	SRR6960214;SRR6960215;SRR6960219;SRR6960221	50
Pa_2_1780.G	NA	NA	NA	NA	NA	NA
Pa_2_1790.G	969475	967542	1	1	SRR6960217	50
Pa_2_1800.G	970411;970895;970663;970561;970208	973001;973004;973004;973031;972970	5	4	SRR6960208;SRR6960210;SRR6960214;SRR6960215;SRR6960220	25
Pa_2_1810.G	NA	NA	NA	NA	NA	NA
Pa_2_1820.G	982388	979761	1	1	ERR2224046	50
Pa_2_1830.G	984548;984275	983181;983545	2	2	SRR6960213;SRR6960221	25
Pa_2_1835.G	986212	984319	1	1	ERR2224051	100
Pa_2_1840.G	986498	989104	1	1	ERR2224050	250
Pa_2_1850.G	990383;990337	989380;989366	2	2	SRR3197700;SRR6960213	100
Pa_2_1860.G	990541;990571;990596;990594;990597;990604;990593	991571;991648;991644;991643;991639;991648;991648	7	5	ERR2224050;SRR3197700;SRR3197701;SRR6960212;SRR6960213;SRR6960218;SRR6960225	100
Pa_2_1870.G	991867	997311	1	1	ERR2224049	25
Pa_2_1880.G	1007986;1007985	1005487;1005487	2	1	SRR6960217;SRR6960222	250
Pa_2_1890.G	1020498;1020474	1019798;1019774	2	2	ERR2224048;SRR3197703	500
Pa_2_1900.G	1024735;1024735;1024731;1024735;1024671	1021868;1021922;1021967;1021912;1021974	3	5	SRR3197702;SRR3197703;SRR3197704;SRR3197705;SRR6960217	25
Pa_2_1910.G	1025041;1025018;1024993	1026434;1026459;1026438	3	3	SRR6960212;SRR6960223;SRR6960225	50
Pa_2_1920.G	1029132	1026524	1	1	ERR2224051	250
Pa_2_1930.G	1030269;1030220	1031864;1031964	2	2	SRR3197704;SRR3197710	250
Pa_2_1940.G	1032381;1032355	1036287;1036067	2	2	ERR2224047;ERR2224050	100
Pa_2_1950.G	NA	NA	NA	NA	NA	NA
Pa_2_1960.G	1040741	1038490	1	1	SRR6960219	250
Pa_2_1970.G	NA	NA	NA	NA	NA	NA
Pa_2_1975.G	1045224;1045007;1045191;1045198	1045663;1045652;1045597;1045834	4	4	SRR6960207;SRR6960218;SRR6960219;SRR6960225	10
Pa_2_1980.G	1050617	1045687	1	1	ERR2224050	25
Pa_2_1990.G	1052405;1052412;1052450	1051554;1051556;1051552	3	3	SRR6960207;SRR6960213;SRR6960218	1000
Pa_2_2000.G	NA	NA	NA	NA	NA	NA
Pa_2_2020.G	1062416	1057979	1	1	ERR2224051	100
Pa_2_2030.G	1062754	1064542	1	1	SRR6960221	100
Pa_2_2040.G	1065207;1065209	1064500;1064500	2	1	SRR6960207;SRR6960215	100
Pa_2_2050.G	1065374;1065407;1065429;1065428;1065430	1066813;1066839;1066835;1066838;1066838	5	4	ERR2224049;SRR6960209;SRR6960213;SRR6960223;SRR6960225	10
Pa_2_2055.G	1067283	1069031	1	1	ERR2224051	100
Pa_2_2060.G	1071847;1071759;1071765;1071786;1071208;1071670	1069051;1069000;1069051;1068987;1069001;1069000	6	4	SRR3197708;SRR3197709;SRR3197710;SRR3197711;SRR6960218;SRR6960219	10
Pa_2_2070.G	1074467;1074358;1074356;1074356;1074424	1072378;1072407;1072397;1072392;1072436	4	5	SRR3197700;SRR3197704;SRR3197705;SRR3197709;SRR6960219	500
Pa_2_2080.G	1074795;1074793;1074863;1074816	1076488;1076491;1076461;1076488	4	3	SRR3197704;SRR3197705;SRR3197708;SRR3197709	100
Pa_2_2090.G	1078287;1078325	1076627;1076634	2	2	SRR3197708;SRR6960219	250
Pa_2_2100.G	1080231;1080210;1080237;1080212	1081988;1081989;1082029;1082139	4	4	SRR3197704;SRR3197705;SRR3197709;SRR3197710	1000
Pa_2_2110.G	1083494;1083546	1084483;1084458	2	2	SRR3197702;SRR3197710	2500
Pa_2_2120.G	NA	NA	NA	NA	NA	NA
Pa_2_2130.G	1087313	1089986	1	1	ERR2224050	25
Pa_2_2140.G	NA	NA	NA	NA	NA	NA
Pa_2_2150.G	1097744	1099299	1	1	SRR3197708	100
Pa_2_2160.G	1101146	1102933	1	1	SRR3197710	500
Pa_2_2170.G	NA	NA	NA	NA	NA	NA
Pa_2_2172.G	NA	NA	NA	NA	NA	NA
Pa_2_2180.G	1110844;1110840	1109781;1109781	2	1	SRR3197702;SRR3197703	1000
Pa_2_2190.G	1115397	1113505	1	1	SRR6960219	10000
Pa_2_2198.G	1116425;1116414;1116376	1117206;1117192;1117193	3	3	SRR6960207;SRR6960219;SRR6960221	500
Pa_2_2200.G	NA	NA	NA	NA	NA	NA
Pa_2_2210.G	1121649	1119158	1	1	SRR3197710	50
Pa_2_2220.G	1122805	1125284	1	1	ERR2224050	75
Pa_2_2230.G	1127311	1125386	1	1	SRR3197709	75
Pa_2_2240.G	1127585	1129167	1	1	ERR2224050	500
Pa_2_2250.G	1133516;1133562	1130966;1130941	2	2	ERR2224046;ERR2224048	100
Pa_2_2260.G	1139220	1137377	1	1	ERR2224048	25
Pa_2_2270.G	NA	NA	NA	NA	NA	NA
Pa_2_2280.G	1143881	1141779	1	1	ERR2224048	100
Pa_2_2290.G	NA	NA	NA	NA	NA	NA
Pa_2_2300.G	1148664;1148653	1149523;1149645	2	2	SRR6960219;SRR6960221	20000
Pa_2_2310.G	1150209	1151338	1	1	ERR2224047	20000
Pa_2_2320.G	1151551	1152850	1	1	SRR3197701	25
Pa_2_2330.G	NA	NA	NA	NA	NA	NA
Pa_2_2340.G	1162240	1160499	1	1	ERR2224051	75
Pa_2_2350.G	NA	NA	NA	NA	NA	NA
Pa_2_2360.G	1167216;1167212;1167208;1167191	1166311;1166267;1166263;1166251	4	4	ERR2224050;SRR3197700;SRR3197701;SRR6960218	2500
Pa_2_2370.G	1167433;1167463;1167417;1167431	1170586;1170568;1170547;1170573	4	4	SRR3197704;SRR3197705;SRR3197709;SRR3197710	25
Pa_2_2390.G	1187670	1193956	1	1	ERR2224051	250
Pa_2_2410.G	1196776	1194918	1	1	ERR2224048	25
Pa_2_2420.G	1198697;1198698;1197909;1198005;1199849;1199896;1199844	1200751;1200753;1200689;1200713;1200771;1200776;1200771	7	6	SRR3197700;SRR3197701;SRR3197702;SRR3197710;SRR6960214;SRR6960215;SRR6960217	25
Pa_2_2430.G	1201869	1201097	1	1	SRR6960217	10
Pa_2_2440.G	1202046	1204182	1	1	ERR2224051	1000
Pa_2_2450.G	1205851	1215474	1	1	ERR2224050	250
Pa_2_2460.G	1216783	1215686	1	1	ERR2224050	100
Pa_2_2470.G	NA	NA	NA	NA	NA	NA
Pa_2_2480.G	1218873;1218887	1220276;1220295	2	2	SRR6960213;SRR6960218	25
Pa_2_2490.G	1221264;1221248	1220289;1220309	2	2	SRR6960213;SRR6960218	2500
Pa_2_2500.G	1228140;1228041;1228064	1221829;1221875;1221875	3	2	SRR3197710;SRR6960217;SRR6960222	50
Pa_2_2510.G	1233399	1232010	1	1	ERR2224050	7500
Pa_2_2520.G	1236687;1236687;1236668;1236689;1236692;1236650;1236666;1236661;1236629;1236653;1236674;1236639;1236652;1236644;1236666	1233731;1233753;1233731;1233742;1233755;1233605;1233583;1233571;1233584;1233571;1233731;1233731;1233721;1233579;1233581	13	11	SRR3197700;SRR3197704;SRR3197705;SRR3197710;SRR3197711;SRR6960207;SRR6960209;SRR6960212;SRR6960213;SRR6960217;SRR6960218;SRR6960219;SRR6960221;SRR6960222;SRR6960225	100
Pa_2_2530.G	1236859	1239610	1	1	ERR2224048	50
Pa_2_2540.G	NA	NA	NA	NA	NA	NA
Pa_2_2550.G	1242315;1242461;1242451	1243394;1243386;1243483	3	3	ERR2224051;SRR6960212;SRR6960215	1000
Pa_2_2560.G	NA	NA	NA	NA	NA	NA
Pa_2_2570.G	1254306;1254177	1257460;1257547	2	2	SRR3197704;SRR3197710	500
Pa_2_2580.G	1258053	1259897	1	1	ERR2224050	25
Pa_2_2590.G	NA	NA	NA	NA	NA	NA
Pa_2_2600.G	1275806;1275831;1275857;1275846;1275896	1274020;1274020;1274024;1274020;1274020	5	2	SRR6960214;SRR6960215;SRR6960216;SRR6960217;SRR6960222	100
Pa_2_2610.G	NA	NA	NA	NA	NA	NA
Pa_2_2620.G	1290515	1289612	1	1	ERR2224050	250
Pa_2_2630.G	1291104	1293158	1	1	ERR2224050	50
Pa_2_2640.G	1295746	1292985	1	1	ERR2224048	75
Pa_2_2650.G	1299258	1296533	1	1	ERR2224050	500
Pa_2_2660.G	1304129;1304176;1304215;1304190;1304138;1304209;1304136	1300812;1300814;1300818;1300788;1300795;1300803;1300791	7	7	SRR3197700;SRR3197701;SRR3197703;SRR3197704;SRR3197705;SRR3197709;SRR3197711	100
Pa_2_2670.G	1304467;1304467;1304524;1304484;1304486;1304512	1306795;1306790;1306794;1307104;1306954;1306797	5	6	SRR3197701;SRR3197710;SRR6960209;SRR6960217;SRR6960219;SRR6960221	50
Pa_2_2680.G	1307124	1309470	1	1	ERR2224051	100
Pa_2_2690.G	1309837;1309783	1311037;1311176	2	2	SRR6960209;SRR6960221	100
Pa_2_2700.G	1312801	1311093	1	1	ERR2224050	100
Pa_2_2710.G	1313313;1313874;1313285;1313121;1313600;1313875;1313676;1313681;1313546;1313379;1313667	1317590;1317564;1317564;1317592;1317593;1317594;1317593;1317590;1317587;1317587;1317587	11	6	ERR2224046;ERR2224047;ERR2224048;ERR2224050;SRR3197701;SRR3197710;SRR6960208;SRR6960213;SRR6960216;SRR6960219;SRR6960225	25
Pa_2_2730.G	1320297	1317742	1	1	SRR6960222	100
Pa_2_2635.G	NA	NA	NA	NA	NA	NA
Pa_2_2740.G	1323048	1324855	1	1	SRR3197710	100
Pa_2_2750.G	1329479;1329407;1329382;1329451;1329417;1329406	1324868;1325019;1325352;1324869;1324944;1324869	6	5	ERR2224048;SRR6960209;SRR6960217;SRR6960219;SRR6960221;SRR6960222	25
Pa_2_2770.G	1330327	1332616	1	1	SRR3197710	75
Pa_2_2780.G	NA	NA	NA	NA	NA	NA
Pa_2_2790.G	NA	NA	NA	NA	NA	NA
Pa_2_2800.G	1341481;1341389;1341635;1341632	1339928;1339825;1339821;1339819	4	4	ERR2224048;SRR6960213;SRR6960219;SRR6960221	100
Pa_2_2810.G	NA	NA	NA	NA	NA	NA
Pa_2_2820.G	1347172	1345834	1	1	ERR2224050	50
Pa_2_2830.G	1349268	1347300	1	1	ERR2224050	250
Pa_2_2840.G	1349453;1349453;1349464;1349424;1349475;1349483;1349483;1349477;1349460;1349477;1349474;1349476;1349482;1349494;1349492;1349499;1349501;1349492;1349484;1349497;1349496;1349492;1349499;1349492;1349492;1349486	1350880;1350971;1350942;1350872;1350901;1350901;1350901;1350886;1350915;1350898;1350891;1350886;1350887;1350894;1350905;1350911;1350908;1350938;1350888;1350900;1350913;1350901;1350875;1350914;1350910;1350901	18	21	ERR2224046;ERR2224047;ERR2224048;ERR2224051;SRR3197700;SRR3197701;SRR3197702;SRR3197704;SRR3197705;SRR3197708;SRR3197709;SRR3197710;SRR3197711;SRR6960209;SRR6960212;SRR6960213;SRR6960214;SRR6960216;SRR6960217;SRR6960218;SRR6960219;SRR6960220;SRR6960221;SRR6960222;SRR6960223;SRR6960225	100
Pa_2_2850.G	1352693	1352090	1	1	ERR2224050	250
Pa_2_2860.G	1352929	1354021	1	1	ERR2224050	250
Pa_2_2870.G	1354500	1355125	1	1	ERR2224051	250
Pa_2_2880.G	1358965	1355320	1	1	SRR3197711	25
Pa_2_2890.G	NA	NA	NA	NA	NA	NA
Pa_2_2900.G	1366210;1366109	1368581;1368576	2	2	SRR6960209;SRR6960219	100
Pa_2_2910.G	1368884	1371031	1	1	ERR2224050	750
Pa_2_2920.G	NA	NA	NA	NA	NA	NA
Pa_2_2930.G	1375365;1375302;1375326	1377521;1377377;1377390	3	3	SRR6960209;SRR6960219;SRR6960221	100
Pa_2_2935.G	NA	NA	NA	NA	NA	NA
Pa_2_2940.G	1386028	1383141	1	1	ERR2224050	750
Pa_2_2950.G	1387144	1388799	1	1	SRR6960209	25
Pa_2_2960.G	NA	NA	NA	NA	NA	NA
Pa_2_2970.G	1393366;1393445	1392595;1392522	2	2	ERR2224050;SRR3197701	1000
Pa_2_2980.G	1393664	1395174	1	1	SRR3197710	1000
Pa_2_2990.G	1397163;1396805	1400074;1400081	2	2	SRR6960213;SRR6960219	100
Pa_2_3000.G	NA	NA	NA	NA	NA	NA
Pa_2_3010.G	1402852;1402878;1403088;1402931;1402993;1402945	1404701;1404663;1404645;1404653;1404640;1404663	6	5	ERR2224050;SRR3197705;SRR3197708;SRR3197709;SRR6960218;SRR6960219	10
Pa_2_3030.G	NA	NA	NA	NA	NA	NA
Pa_2_3040.G	1415227	1413037	1	1	ERR2224051	100
Pa_2_3045.G	1415638;1415636	1417048;1417074	2	2	SRR6960212;SRR6960213	10
Pa_2_3050.G	NA	NA	NA	NA	NA	NA
Pa_2_3060.G	NA	NA	NA	NA	NA	NA
Pa_2_3070.G	1422470	1420167	1	1	ERR2224048	75
Pa_2_3080.G	1425295;1425256;1425300	1426799;1426634;1426770	3	3	SRR3197704;SRR6960217;SRR6960220	10
Pa_2_3090.G	1427304	1429855	1	1	ERR2224050	100
Pa_2_3100.G	1432031;1431977;1432058;1432019	1430590;1430676;1430696;1430623	4	4	SRR6960212;SRR6960217;SRR6960219;SRR6960222	25
Pa_2_3110.G	NA	NA	NA	NA	NA	NA
Pa_2_3120.G	1436328;1436284	1438270;1438937	2	2	SRR3197704;SRR6960219	75
Pa_2_3130.G	1440120;1438038;1440149	1444450;1444799;1444462	3	3	ERR2224047;ERR2224048;ERR2224049	100
Pa_2_3140.G	1445663	1444455	1	1	ERR2224050	250
Pa_2_3150.G	1446455;1446441;1446454;1446458	1449364;1449268;1449342;1449276	4	4	ERR2224050;ERR2224051;SRR6960217;SRR6960219	75
Pa_2_3160.G	1449442	1450954	1	1	ERR2224050	250
Pa_2_3170.G	NA	NA	NA	NA	NA	NA
Pa_2_3180.G	1458686	1456042	1	1	SRR3197710	75
Pa_2_3185.G	NA	NA	NA	NA	NA	NA
Pa_2_3190.G	NA	NA	NA	NA	NA	NA
